battery_id,model_name,number_of_discharge_cycles,number_of_train_cycles,number_of_test_cycles,number_of_train_rows,number_of_test_rows,train_rmse_v,test_rmse_v,train_mae_v,test_mae_v,baseline_intercept,coef_soc,coef_soc_squared,coef_soc_cubed,coef_discharge_current_a
B0005,physics_inspired_baseline,168,117,51,32212,13246,0.054855429876199194,0.07869688591490197,0.03624684095511689,0.0668195241770676,3.1918054625541465,2.6343973688163387,-4.521153141339442,2.8910127298907575,-0.08963128892216146
B0005,hybrid_residual_without_temperature,168,117,51,32212,13246,0.003084339297807324,0.021505552445743342,0.0019187666982078686,0.01813518973627379,3.1918054625541465,2.6343973688163387,-4.521153141339442,2.8910127298907575,-0.08963128892216146
B0005,mlp_hybrid_residual_without_temperature,168,117,51,32212,13246,0.008371236750621224,0.047102261765581646,0.0040483237094213415,0.029516897017027657,3.1918054625541465,2.6343973688163387,-4.521153141339442,2.8910127298907575,-0.08963128892216146
B0005,temperature_aware_hybrid_residual,168,117,51,32212,13246,0.0030134008563260603,0.022583800034036743,0.0019073954897445996,0.018982090748283987,3.1918054625541465,2.6343973688163387,-4.521153141339442,2.8910127298907575,-0.08963128892216146
B0006,physics_inspired_baseline,168,117,51,32000,12690,0.07928275839324955,0.11685769363256908,0.05723045535865056,0.10568339226652901,3.1366624671950265,2.746078211262368,-4.683407915472342,2.9836750039932065,-0.10117520585122336
B0006,hybrid_residual_without_temperature,168,117,51,32000,12690,0.006808390904730705,0.024798608381679525,0.00280534504258474,0.018448869512865184,3.1366624671950265,2.746078211262368,-4.683407915472342,2.9836750039932065,-0.10117520585122336
B0006,mlp_hybrid_residual_without_temperature,168,117,51,32000,12690,0.024740270746851017,0.061776606961836365,0.00898796621140285,0.04467122360981623,3.1366624671950265,2.746078211262368,-4.683407915472342,2.9836750039932065,-0.10117520585122336
B0006,temperature_aware_hybrid_residual,168,117,51,32000,12690,0.005678647786226698,0.02481624165677418,0.0026241717309575014,0.018467745083274444,3.1366624671950265,2.746078211262368,-4.683407915472342,2.9836750039932065,-0.10117520585122336
B0007,physics_inspired_baseline,168,117,51,33972,14663,0.08814082700349805,0.09321617319950853,0.04970178726965853,0.05554379633940892,3.0805061059365957,3.338782017072852,-5.99324575168769,3.7745867777476634,-0.07448445184714975
B0007,hybrid_residual_without_temperature,168,117,51,33972,14663,0.012467610799863011,0.032288862297906534,0.0029582600895330085,0.01629966660860124,3.0805061059365957,3.338782017072852,-5.99324575168769,3.7745867777476634,-0.07448445184714975
