battery_id,discharge_index,number_of_steps,baseline_rmse_v,hybrid_rmse_v,mlp_hybrid_rmse_v,temperature_hybrid_rmse_v,baseline_mae_v,hybrid_mae_v,mlp_hybrid_mae_v,temperature_hybrid_mae_v,hybrid_rmse_improvement_v,mlp_rmse_improvement_v,mlp_vs_rf_rmse_gain_v,temperature_rmse_gain_v,hybrid_mae_improvement_v,mlp_mae_improvement_v,mlp_vs_rf_mae_gain_v,temperature_mae_gain_v
B0005,117,272,0.06677479971927891,0.005507153265217856,0.007391814270717875,0.005589805877948859,0.05103724254115349,0.003519213566182821,0.004162920606258855,0.0037732964627083957,0.061267646454061055,0.059382985448561035,-0.001884661005500019,-8.265261273100299e-05,0.047518028974970664,0.04687432193489463,-0.0006437070400760344,-0.0002540828965255748
B0005,118,271,0.06153021009276907,0.00307099304084037,0.00968471979851014,0.0038870041075266767,0.04743119545892729,0.0022758430931889245,0.007412311817529088,0.0027441067873646093,0.058459217051928705,0.05184549029425893,-0.006613726757669769,-0.0008160110666863068,0.045155352365738366,0.0400188836413982,-0.005136468724340164,-0.00046826369417568483
B0005,119,276,0.06044995592234582,0.005792905760277533,0.011070335425110212,0.005638002661074797,0.0443998285284928,0.003987640026118492,0.009484617411146477,0.003796370880988871,0.05465705016206829,0.049379620497235606,-0.005277429664832679,0.00015490309920273594,0.04041218850237431,0.03491521111734632,-0.005496977385027985,0.00019126914512962055
B0005,120,277,0.058309687714699514,0.009568134348369603,0.015667527594000544,0.010064848497065392,0.03980932798408008,0.008244640069297145,0.014411104216733722,0.008505575476438758,0.04874155336632991,0.04264216012069897,-0.006099393245630941,-0.0004967141486957889,0.03156468791478294,0.025398223767346358,-0.006166464147436577,-0.0002609354071416124
B0005,121,273,0.05896034290180492,0.0060758108069944115,0.015126843189562152,0.00592511651785476,0.044361421658313596,0.003983180136244452,0.012344888703442044,0.003796667179353927,0.05288453209481051,0.04383349971224277,-0.00905103238256774,0.00015069428913965129,0.04037824152206915,0.03201653295487155,-0.008361708567197593,0.0001865129568905245
B0005,122,271,0.06160108205191819,0.004568687246336958,0.014143041559796973,0.0042105294482799,0.048333871320148554,0.00328748536835666,0.010538112380173612,0.0031761219636690648,0.057032394805581234,0.04745804049212122,-0.009574354313460015,0.0003581577980570575,0.0450463859517919,0.037795758939974944,-0.007250627011816952,0.00011136340468759524
B0005,123,270,0.06476250078762531,0.0046564772169582404,0.012974060850497864,0.005136740428397127,0.05153416784013477,0.003869395187886705,0.00924449967595666,0.004274433813450234,0.06010602357066707,0.05178843993712745,-0.008317583633539623,-0.00048026321143888624,0.04766477265224807,0.04228966816417811,-0.005375104488069955,-0.0004050386255635284
B0005,124,269,0.0668387912336762,0.006055818143349716,0.0128484700312076,0.006808437720136346,0.0535230887540089,0.005466600648152559,0.00911289294330654,0.006176852665195815,0.06078297309032648,0.0539903212024686,-0.006792651887857884,-0.0007526195767866301,0.04805648810585634,0.04441019581070236,-0.003646292295153981,-0.0007102520170432563
B0005,125,268,0.06785204411784344,0.007234144426637275,0.013754965634721113,0.008134414236626916,0.054945885701459724,0.0067059772220471455,0.009436646734029322,0.007527219046489615,0.06061789969120617,0.05409707848312233,-0.006520821208083839,-0.0009002698099896409,0.04823990847941258,0.0455092389674304,-0.002730669511982176,-0.0008212418244424695
B0005,126,267,0.07001178293747246,0.00914548409417305,0.013877476364272948,0.01016547817916242,0.05716675307102153,0.008662597992837869,0.009631864045105546,0.009533633422757235,0.0608662988432994,0.05613430657319951,-0.004731992270099898,-0.0010199940849893695,0.04850415507818366,0.04753488902591598,-0.0009692660522676779,-0.0008710354299193666
B0005,127,266,0.07107007095751075,0.010697138687764842,0.015291993269850541,0.012399231114877264,0.05891378340631707,0.010238655278422937,0.010424777692725115,0.0116667567693896,0.06037293226974591,0.05577807768766021,-0.0045948545820857,-0.0017020924271124224,0.04867512812789413,0.04848900571359195,-0.000186122414302178,-0.0014281014909666625
B0005,128,265,0.07061883070243462,0.011179680339448269,0.017929195029141247,0.013048678130662007,0.059209731813930126,0.010715546728569452,0.012071438998107736,0.012254695867009087,0.059439150362986345,0.05268963567329337,-0.006749514689692978,-0.0018689977912137376,0.04849418508536067,0.047138292815822394,-0.0013558922695382832,-0.0015391491384396348
B0005,129,264,0.07410614872972138,0.013830553333286255,0.017242475218602917,0.015528437103671813,0.062227406730151195,0.013329899296534648,0.011902126122453508,0.014797530056892062,0.06027559539643512,0.05686367351111846,-0.003411921885316662,-0.0016978837703855582,0.048897507433616545,0.050325280607697684,0.0014277731740811404,-0.0014676307603574135
B0005,130,264,0.07629185354833785,0.015511545979435146,0.017193339385663677,0.01683418461495275,0.06358405441746183,0.014694654480311228,0.01246773203703277,0.015871809277103258,0.06078030756890271,0.05909851416267418,-0.0016817934062285309,-0.0013226386355176048,0.0488893999371506,0.05111632238042906,0.0022269224432784583,-0.0011771547967920296
B0005,131,263,0.07645074886952524,0.01609299340900077,0.019376019676507598,0.017750862263203597,0.06457259795408625,0.015459364855125435,0.013759374008371262,0.0168750777058783,0.06035775546052447,0.05707472919301765,-0.003283026267506827,-0.0016578688542028264,0.04911323309896082,0.05081322394571499,0.001699990846754174,-0.0014157128507528635
B0005,132,265,0.0700218164278146,0.01041885368746858,0.025431146125621477,0.010560799234422425,0.05839711762436411,0.009796146752794718,0.01829844008953709,0.009893083079108717,0.05960296274034602,0.04459067030219313,-0.015012292438152896,-0.0001419455469538443,0.04860097087156939,0.040098677534827015,-0.008502293336742371,-9.693632631399898e-05
B0005,133,267,0.06421219372617464,0.005331666234977759,0.032262159478616395,0.005775904459025506,0.05132204786446875,0.0040316434187479926,0.024438404041014737,0.0044617755543974475,0.05888052749119688,0.03195003424755824,-0.026930493243638637,-0.00044423822404774695,0.04729040444572076,0.026883643823454012,-0.020406760622266745,-0.00043013213564945495
B0005,134,264,0.06799997427738942,0.009133126051783621,0.0317235772136433,0.009308990818017601,0.056506150373602786,0.0081357837540586,0.023051175606089973,0.008218621245159345,0.0588668482256058,0.03627639706374612,-0.02259045116185968,-0.0001758647662339803,0.048370366619544185,0.033454974767512816,-0.014915391852031374,-8.283749110074567e-05
B0005,135,263,0.07586876653328271,0.01492742292688597,0.027180002400780386,0.015095633695002249,0.06328592637422732,0.014132447337980901,0.020190326005593846,0.014295112263868181,0.06094134360639675,0.048688764132502324,-0.012252579473894416,-0.00016821076811627915,0.04915347903624642,0.043095600368633476,-0.006057878667612945,-0.0001626649258872799
B0005,136,261,0.07364822416863741,0.015273803990040137,0.032271109684759915,0.016513683184673486,0.06359825404112585,0.014652560068755063,0.022612943802441027,0.01569824905666903,0.05837442017859727,0.04137711448387749,-0.01699730569471978,-0.0012398791946333487,0.04894569397237078,0.04098531023868482,-0.007960383733685964,-0.0010456889879139689
B0005,137,261,0.07431338040759092,0.014579286993970582,0.033277403819156066,0.014680728936491272,0.06327558556767872,0.013890124069027137,0.02399408714517675,0.013956839782259988,0.059734093413620334,0.04103597658843485,-0.018698116825185483,-0.00010144194252069069,0.049385461498651584,0.03928149842250197,-0.010103963076149613,-6.671571323285143e-05
B0005,138,261,0.07691502385807356,0.015843300317398886,0.03293586658680662,0.01590158426537601,0.0645177959227589,0.014996602175641577,0.024530600298503093,0.015091434912226661,0.061071723540674666,0.04397915727126694,-0.017092566269407732,-5.8283947977123135e-05,0.049521193747117324,0.0399871956242558,-0.009533998122861516,-9.483273658508415e-05
