battery_id,selected_case,mean_abs_diff_no_update_vs_partial_sparse,mean_abs_diff_no_update_vs_full_window,mean_abs_diff_no_update_vs_selected_update,rmse_no_update,rmse_partial_sparse,rmse_full_window,rmse_selected_update,update_window_rmse_no_update,update_window_rmse_partial_sparse,update_window_rmse_full_window
B0005,no_update,0.003557423332965777,0.007508457983662668,0.0,0.035365474521858314,0.0322578450126021,0.028149912365816633,0.035365474521858314,0.01016511445857411,0.010766892975518918,0.011247075938902359
B0006,no_update,0.0033651290604547242,0.0011681224177372143,0.0,0.014051005642531445,0.011297161431435592,0.01462040599896703,0.014051005642531445,0.008735609688878852,0.008990890562069356,0.009827520185313651
B0007,partial_sparse_update,0.0019697797598117127,0.0054600452971442755,0.0019697797598117127,0.009358437824004496,0.008090550642263768,0.006723079800561706,0.008090550642263768,0.006291709290502522,0.005309153592784173,0.0055501261096559135
B0018,no_update,0.0035023656073766524,0.007152555228315112,0.0,0.035175199947939294,0.0384310163412695,0.042007889148937196,0.035175199947939294,0.00812501034069833,0.009241989494137853,0.007443691650444807
